,house_price,pdf,cdf
0,0.0,4.946895052113001e-10,0.0
1,10000.0,6.500412293474933e-10,0.0
2,20000.0,9.847188870177621e-10,0.0
3,30000.0,1.5508666551563147e-09,0.0
4,40000.0,2.43380932620019e-09,0.0
5,50000.0,3.735779537047302e-09,0.0
6,60000.0,5.595849084344235e-09,0.0
7,70000.0,8.186818527530378e-09,0.0
8,80000.0,1.1697920252783362e-08,0.0
9,90000.0,1.6353248914962035e-08,0.0
10,100000.0,2.239860991610855e-08,0.0
11,110000.0,3.0079585145437826e-08,0.0
12,120000.0,3.963326603950859e-08,0.00015142337976983646
13,130000.0,5.126722655236843e-08,0.0005047445992327882
14,140000.0,6.511600918129845e-08,0.0009590147385422976
15,150000.0,8.122156788405521e-08,0.0010599636583888553
16,160000.0,9.949042831270867e-08,0.0017666060973147587
17,170000.0,1.1969191251777185e-07,0.0027256208358570565
18,180000.0,1.4145260347251993e-07,0.0029779931354734506
19,190000.0,1.642794286736127e-07,0.003937007874015748
20,200000.0,1.8763290938709446e-07,0.007167373309105592
21,210000.0,2.1097293043029774e-07,0.009186351706036745
22,220000.0,2.3385193440482602e-07,0.01155865132243085
23,230000.0,2.5595782547854267e-07,0.014789016757520694
24,240000.0,2.77162594886562e-07,0.01968503937007874
25,250000.0,2.9749010968808756e-07,0.022107813446396122
26,260000.0,3.17115231503863e-07,0.02448011306279023
27,270000.0,3.362831394942414e-07,0.02866949323642237
28,280000.0,3.552603076033389e-07,0.030537048253583686
29,290000.0,3.742872181948215e-07,0.03280839895013123
30,300000.0,3.9355910258282935e-07,0.037956793862305674
31,310000.0,4.1322270836900733e-07,0.04300423985463356
32,320000.0,4.3341788089482e-07,0.04714314556834242
33,330000.0,4.5429135737918597e-07,0.0524429638602867
34,340000.0,4.760136205605767e-07,0.056682818493842116
35,350000.0,4.987908568847693e-07,0.061780738946093275
36,360000.0,5.228420230705076e-07,0.06556632344033919
37,370000.0,5.483325129694284e-07,0.07061376943266708
38,380000.0,5.753777910150947e-07,0.07717544922269332
39,390000.0,6.039965329671498e-07,0.08186957399555825
40,400000.0,6.340809759078126e-07,0.08868362608520089
41,410000.0,6.654168854294972e-07,0.09433676559660811
42,420000.0,6.977220202307974e-07,0.10145366444579043
43,430000.0,7.306358423580052e-07,0.10831819099535635
44,440000.0,7.637691442916332e-07,0.11851403189985867
45,450000.0,7.967188594219977e-07,0.12537855844942458
46,460000.0,8.290954542359544e-07,0.1334544720371492
47,470000.0,8.605044727106641e-07,0.1415303856248738
48,480000.0,8.905883739676839e-07,0.1501615182717545
49,490000.0,9.190455360879714e-07,0.15980214011710075
50,500000.0,9.456261602409303e-07,0.1710579446799919
51,510000.0,9.701673781042245e-07,0.1806480920654149
52,520000.0,9.926070233182711e-07,0.19150010094891984
53,530000.0,1.0129724479430346e-06,0.20285685443165757
54,540000.0,1.0313691576231376e-06,0.21179083383807792
55,550000.0,1.0479448279336417e-06,0.2208762366242681
56,560000.0,1.0628856120767201e-06,0.23415101958409046
57,570000.0,1.0763778577681465e-06,0.24369069250959013
58,580000.0,1.0885891188649917e-06,0.25368463557439935
59,590000.0,1.0996722153271556e-06,0.26695941853422167
60,600000.0,1.1097711551030653e-06,0.27937613567534825
61,610000.0,1.1189864032989934e-06,0.2887139107611549
62,620000.0,1.1274119518669353e-06,0.29986876640419946
63,630000.0,1.135092315637437e-06,0.3111245709670907
64,640000.0,1.142048973365246e-06,0.3224813244498284
65,650000.0,1.1482571210070269e-06,0.3336866545527963
66,660000.0,1.1536502065965571e-06,0.3467595396729255
67,670000.0,1.1580940035033073e-06,0.3585200888350495
68,680000.0,1.1614064750493408e-06,0.36967494447809407
69,690000.0,1.163323626013849e-06,0.3815364425600646
70,700000.0,1.1635046054889104e-06,0.39354936402180496
71,710000.0,1.1615279323039924e-06,0.4051584898041591
72,720000.0,1.1569310292861996e-06,0.41580860084797094
73,730000.0,1.149240163488617e-06,0.4270644054108621
74,740000.0,1.1380625968925673e-06,0.44150010094891984
75,750000.0,1.1231619382062353e-06,0.4523016353725015
76,760000.0,1.104521778367768e-06,0.46507167373309105
77,770000.0,1.0823914178786115e-06,0.477740763173834
78,780000.0,1.0572977162602962e-06,0.4890470421966485
79,790000.0,1.0299533793588782e-06,0.49798102160306884
80,800000.0,1.0011870449444808e-06,0.5080759135877246
81,810000.0,9.718511932251636e-07,0.5168584696143751
82,820000.0,9.426906386722448e-07,0.5263981425398748
83,830000.0,9.14269481420402e-07,0.5341712093680597
84,840000.0,8.869619705288223e-07,0.541994750656168
85,850000.0,8.609423401670599e-07,0.5521905915606703
86,860000.0,8.362202818721459e-07,0.5609731475873209
87,870000.0,8.127056685004843e-07,0.5685443165758126
88,880000.0,7.902679723979688e-07,0.5764688067837674
89,890000.0,7.687709714962369e-07,0.5835857056329498
90,900000.0,7.481046931318781e-07,0.5911064001615183
91,910000.0,7.282299814349417e-07,0.597769028871391
92,920000.0,7.091637919568191e-07,0.6050373511003432
93,930000.0,6.909916794020505e-07,0.6124570967090652
94,940000.0,6.738554325229155e-07,0.619473046638401
95,950000.0,6.579402537664088e-07,0.6255804562891177
96,960000.0,6.434558961618821e-07,0.6316373914799112
97,970000.0,6.305643239649215e-07,0.6374924288310115
98,980000.0,6.193697092609632e-07,0.6434484151019584
99,990000.0,6.098483758688149e-07,0.6498081970522915
100,1000000.0,6.018229670354257e-07,0.65424994952554
101,1010000.0,5.949369015682563e-07,0.6598021401171007
102,1020000.0,5.886962770967272e-07,0.6658590753078942
